Date,Open,High,Low,Close,Volume
31-12-2009,9307.02,9336.84,9300.47,9306.89,56775820
04-01-2010,9306.93,9510.11,9296.6,9510.11,265611968
05-01-2010,9510.14,9568.67,9492.68,9557.09,361749312
06-01-2010,9557.03,9593.58,9520.6,9589.53,327810048
07-01-2010,9589.6,9638.55,9544.33,9630.38,425904224
08-01-2010,9630.3,9708.26,9630.3,9689.05,495029376
11-01-2010,9689.02,9795.61,9688.55,9726.44,373149920
12-01-2010,9726.5,9746.81,9550.55,9603.47,414984672
13-01-2010,9603.38,9619.29,9544.76,9569.52,380311616
14-01-2010,9569.55,9630.72,9562.08,9568.03,477578240
15-01-2010,9567.96,9617.22,9520.1,9538.2,472924640
18-01-2010,9538.08,9576.5,9519.05,9572.07,296189024
19-01-2010,9571.98,9571.98,9470.49,9555.41,350808864
20-01-2010,9555.46,9560.69,9467.41,9472.29,421591328
21-01-2010,9472.37,9543.9,9418.07,9418.07,420469664
22-01-2010,9418.02,9418.69,9292.4,9325.22,472967968
25-01-2010,9325.21,9401.56,9289.73,9293.12,333153664
26-01-2010,9293.08,9293.08,9227.81,9292.92,340051072
27-01-2010,9292.93,9292.93,9193.16,9245.25,315376096
28-01-2010,9245.17,9349.75,9213.78,9213.78,494586368
29-01-2010,9213.79,9299.32,9201.61,9237.3,449735872
01-02-2010,9237.41,9312.11,9217.85,9312.11,301370752
02-02-2010,9312.11,9480.78,9286.1,9480.77,387119392
03-02-2010,9480.69,9515.92,9417.34,9417.81,376837760
04-02-2010,9417.81,9428.19,9217.77,9223.84,470826272
05-02-2010,9223.9,9224.48,8993.38,9035.91,554790976
08-02-2010,9036.03,9127.64,8954.92,9010.37,389968288
09-02-2010,9010.4,9054.08,8976.67,9020.01,421161536
10-02-2010,9019.97,9141.01,9019.97,9064.32,401984768
11-02-2010,9064.36,9164.86,9064.36,9127.85,408300608
12-02-2010,9127.76,9182.71,9052.97,9052.97,373987584
15-02-2010,9052.96,9109.08,9052.96,9072.96,190896688
16-02-2010,9072.93,9176.27,9072.93,9176.27,313821152
17-02-2010,9176.18,9337.25,9176.18,9329.92,388728800
18-02-2010,9329.95,9385.27,9305.15,9385.27,338501280
19-02-2010,9385.44,9431.36,9313.74,9431.36,365887680
22-02-2010,9431.39,9497.91,9426.73,9441.71,303358304
23-02-2010,9441.67,9500.74,9377.41,9387.85,344986208
24-02-2010,9387.87,9400.48,9317.34,9359.18,402468864
25-02-2010,9359.23,9365.06,9223.56,9226.94,481604544
26-02-2010,9226.96,9344.39,9226.96,9344.39,369216576
01-03-2010,9344.51,9479.83,9344.51,9479.83,400318048
02-03-2010,9479.98,9598.65,9457.51,9598.65,411874496
03-03-2010,9598.58,9612.17,9523.86,9612.17,452385056
04-03-2010,9612.21,9685.33,9588.04,9665.29,397599392
05-03-2010,9665.31,9796.75,9665.31,9774.72,395071680
08-03-2010,9774.74,9814.58,9758.62,9786.39,304069696
09-03-2010,9786.47,9801.78,9710.94,9774.68,370426816
10-03-2010,9774.79,9865.29,9768.33,9865.29,439787488
11-03-2010,9865.27,9872.06,9829.79,9854.44,334119648
12-03-2010,9854.47,9966.78,9854.47,9941.56,354357600
15-03-2010,9941.6,9950.67,9860.75,9879.01,249057600
16-03-2010,9879.07,9952.73,9879.07,9930.04,337076672
17-03-2010,9929.99,10008.5,9929.99,10008.5,343767776
18-03-2010,10008.51,10041.03,9983.3,10004.18,384692512
19-03-2010,10004.3,10083.34,10004.3,10019.77,659720256
22-03-2010,10019.83,10019.83,9905.25,9991.92,342050432
23-03-2010,9991.94,10054.41,9991.94,10030.1,447801536
24-03-2010,10030.15,10103.14,10003.07,10081.12,439614816
25-03-2010,10081.05,10204.97,10081.05,10190.9,479899680
26-03-2010,10191,10235.38,10175.23,10223.56,401647648
29-03-2010,10234.97,10262.03,10179.76,10209.53,374480640
30-03-2010,10209.49,10244.12,10185.71,10186.14,429954720
31-03-2010,10186.2,10247.68,10098.87,10165.28,522976704
01-04-2010,10165.23,10309.52,10164.15,10309.52,383901248
06-04-2010,10309.48,10434.01,10309.47,10434.01,344386528
07-04-2010,10433.97,10453.62,10410.75,10420.12,417286016
08-04-2010,10420.15,10420.15,10296.19,10379.48,353481504
09-04-2010,10379.45,10467.33,10379.45,10463.28,309836704
12-04-2010,10463.36,10507.12,10458.63,10481.77,293664992
13-04-2010,10481.8,10481.8,10403.81,10418.88,373234944
14-04-2010,10418.9,10499.07,10418.9,10495.64,328544928
15-04-2010,10495.58,10548.22,10495.58,10539.15,357293184
16-04-2010,10539.24,10556.44,10437.46,10447.83,347846752
19-04-2010,10448.04,10448.3,10344.71,10390.86,293535328
20-04-2010,10390.82,10488.96,10390.82,10487.59,326392192
21-04-2010,10487.53,10518.41,10446.65,10469.15,375557248
22-04-2010,10469.08,10586.91,10416.28,10435.61,481226176
23-04-2010,10435.6,10610.34,10435.6,10601.54,439297152
26-04-2010,10601.38,10773.3,10601.38,10690.08,433043552
27-04-2010,10690.18,10690.18,10470.05,10470.05,390186816
28-04-2010,10470.11,10470.11,10259.89,10299.04,548618432
29-04-2010,10299.06,10403.2,10279.42,10392.96,423612672
30-04-2010,10392.84,10466.9,10340.19,10366,373308800
04-05-2010,10366,10439.38,10133.85,10151.44,435979552
05-05-2010,10151.33,10163.2,9961.28,9982.14,533084608
06-05-2010,9982.15,10076.78,9846.9,9902.74,523691968
07-05-2010,9903.11,9903.11,9448.64,9491.89,750320512
10-05-2010,9491.89,10004.75,9491.89,10004.75,601818176
11-05-2010,10004.91,10004.91,9828.22,9976.86,439764832
12-05-2010,9976.81,10187.23,9951.64,10186.92,565012544
13-05-2010,10186.87,10297.99,10186.87,10285.96,411810880
14-05-2010,10286.03,10286.03,10012.33,10022.9,437112096
17-05-2010,10022.99,10041.3,9918.16,9932.03,371938336
18-05-2010,9931.98,10047.68,9931.98,9993.24,511769472
19-05-2010,9993.25,9993.25,9670.62,9670.62,588093824
20-05-2010,9670.66,9768.08,9345.74,9433.59,616876160
21-05-2010,9433.68,9481.48,9293.68,9446.94,559771712
24-05-2010,9446.84,9562.88,9421.87,9477.57,299320544
25-05-2010,9477.63,9477.63,9140.89,9189.35,493630176
